BETASERC,16 mg comp.x 30,Abbott EPD
BETASERC,24 mg comp.x 30,Abbott EPD
BETASERC,8 mg comp.x 30,Abbott EPD
TIADYL,16 mg comp.x 30,Abbott EPD
TIADYL,8 mg comp.x 30,Abbott EPD
TIADYL PLUS,16 mg comp.x 30,Abbott EPD
KLARICID,125 mg/5 ml jbe.x 60 ml,Abbott EPD
KLARICID,500 mg comp.x 16,Abbott EPD
KLARICID,500 mg comp.x 8,Abbott EPD
KLARICID,IV iny.f.a.x 1,Abbott EPD
KLARICID UD,comp.x 5,Abbott EPD
KLARICID UD,comp.x 8,Abbott EPD
KLARICID FORTE,jbe.x 60 ml,Abbott EPD
COFRON,Ad.jbe.x 180 ml,Abbott EPD
COFRON,Ped.jbe.x 180 ml,Abbott EPD
COFRON,ad.jbe.x 100 ml,Abbott EPD
COFRON,ped.jbe.x 100 ml,Abbott EPD
IRUXOL,ung.x 15 g,Abbott EPD
IRUXOL,ung.x 30 g,Abbott EPD
IRUXOL,ung.x 50 g,Abbott EPD
CREON 25000,c·ps.x 100,Abbott EPD
CREON 10000,c·ps.x 100,Abbott EPD
CREON 10000,c·ps.x 50,Abbott EPD
CREON 25000,c·ps.x 50,Abbott EPD
CONTROLIP,160 mg c·ps.x 30,Abbott EPD
LUVOX,100 mg comp.ran.x 30,Abbott EPD
LUVOX,100 mg comp.rec.x 15,Abbott EPD
DICETEL,100 mg comp.x 30,Abbott EPD
DICETEL,100 mg comp.x 60,Abbott EPD
NORMORYTMIN,150 mg comp.rec.x 20,Abbott EPD
NORMORYTMIN,150 mg comp.rec.x 50,Abbott EPD
NORMORYTMIN,300 mg comp.rec.x 20,Abbott EPD
NORMORYTMIN,300 mg comp.rec.x 50,Abbott EPD
VALCOTE,125 mg comp.x 50,Abbott EPD
VALCOTE SPRINKLE,125 mg c·ps.x 100,Abbott EPD
VALCOTE SPRINKLE,125 mg c·ps.x 50,Abbott EPD
VALCOTE ER,250 mg comp.lib.cont.x50,Abbott EPD
VALCOTE,250 mg comp.x 50,Abbott EPD
VALCOTE ER,500 mg comp.lib.cont.x50,Abbott EPD
VALCOTE,500 mg comp.x 50,Abbott EPD
VALCOTE IV,iny.a.x 10 x 5 ml,Abbott EPD
DEPAKENE,c·ps.x 50,Abbott EPD
DEPAKENE,jbe.x 120 ml,Abbott EPD
ISOPTINO RETARD,120 mg comp.rec.x 20,Abbott EPD
ISOPTINO MD,240 mg comp. rec.x 30,Abbott EPD
ISOPTINO,80 mg comp.rec.x 30,Abbott EPD
LUMIGAN RC,0.01% fco.gotero x 3 ml,Abbvie
LUMIGAN,0.03% sol.oft.x 3 ml,Abbvie
